name,stint 1,stint 2,stint 3,stint 4 ,stint 5,stint 6,raceId
Adrian Sutil,Intermediate,Soft,Soft,Soft,,,849
Sergio Perez,Intermediate,Soft,Soft,,,,849
Michael Schumacher,Intermediate,Soft,Soft,,,,849
Vitaly Petrov,Intermediate,Soft,Soft,,,,849
Rubens Barrichello,Intermediate,Soft,Soft,,,,849
Nick Heidfeld,Intermediate,Soft,Soft,,,,849
Heikki Kovalainen,Intermediate,,,,,,849
Jaime Alguersuari,Intermediate,Soft,Soft,,,,849
Sebastien Buemi,Intermediate,Soft,Soft,,,,849
Timo Glock,Intermediate,Soft,Soft,,,,849
Jarno Trulli,Intermediate,,,,,,849
Jerome d Ambrosio,Intermediate,Soft,Soft,,,,849
Vitantonio Liuzzi,Intermediate,Soft,Soft,,,,849
Daniel Ricciardo,Intermediate,Soft,Soft,,,,849
Mark Webber,Soft,Soft,Soft,Medium,,,850
Lewis Hamilton,Soft,Soft,Soft,Medium,,,850
Sebastian Vettel,Soft,Soft,Soft,Medium,,,850
Fernando Alonso,Soft,Soft,Soft,Medium,,,850
Felipe Massa,Soft,Soft,Soft,Medium,,,850
Nico Rosberg,Soft,Soft,Soft,Medium,,,850
Jenson Button,Soft,Soft,,,,,850
Adrian Sutil,Soft,Soft,Medium,,,,850
Vitaly Petrov,Soft,Soft,Medium,,,,850
Michael Schumacher,Soft,Soft,Soft,Medium,,,850
Nick Heidfeld,Soft,,,,,,850
Paul di Resta,Soft,Soft,Medium,,,,850
Pastor Maldonado,Soft,Soft,Medium,,,,850
Rubens Barrichello,Soft,,,,,,850
Sergio Perez,Soft,Soft,Medium,,,,850
Jaime Alguersuari,Soft,Soft,Medium,,,,850
Kamui Kobayashi,Soft,Soft,Medium,,,,850
Heikki Kovalainen,Soft,Soft,Medium,,,,850
Timo Glock,Soft,Soft,Medium,,,,850
Karun Chandhok,Soft,Soft,Soft,Medium,,,850
Jerome d Ambrosio,Soft,Soft,Medium,,,,850
Daniel Ricciardo,Soft,Soft,Medium,,,,850
Vitantonio Liuzzi,Soft,Soft,,,,,850
Sebastien Buemi,Soft,Soft,Medium,,,,850
Sebastian Vettel,Intermediate,Super-soft,Super-soft,Soft,,,851
Lewis Hamilton,Intermediate,Super-soft,Super-soft,Super-soft,Intermediate,Soft,851
Jenson Button,Intermediate,Super-soft,Super-soft,Soft,,,851
Felipe Massa,Intermediate,Super-soft,Super-soft,Super-soft,Soft,,851
Fernando Alonso,Intermediate,Super-soft,Super-soft,Super-soft,Soft,,851
Mark Webber,Intermediate,Super-soft,Super-soft,Soft,Intermediate,Soft,851
Nico Rosberg,Intermediate,Super-soft,Soft,Intermediate,Soft,,851
Adrian Sutil,Intermediate,Super-soft,Soft,Intermediate,Super-soft,,851
Michael Schumacher,Intermediate,Super-soft,Soft,,,,851
Sergio Perez,Intermediate,Super-soft,Super-soft,Soft,,,851
Paul di Resta,Intermediate,Super-soft,Super-soft,Soft,,,851
Vitaly Petrov,Intermediate,Super-soft,Soft,Intermediate,Soft,,851
Kamui Kobayashi,Intermediate,Soft,Super-soft,Super-soft,,,851
Nick Heidfeld,Intermediate,Super-soft,Soft,,,,851
Rubens Barrichello,Intermediate,Super-soft,Super-soft,Soft,Intermediate,Soft,851
Jaime Alguersuari,Intermediate,Super-soft,Soft,Soft,,,851
Pastor Maldonado,Intermediate,Super-soft,Super-soft,Intermediate,Super-soft,,851
Sebastien Buemi,Intermediate,Super-soft,Soft,Soft,,,851
Heikki Kovalainen,Intermediate,Super-soft,Super-soft,Soft,Intermediate,Super-soft,851
Jarno Trulli,Intermediate,Super-soft,,,,,851
Timo Glock,Intermediate,Super-soft,Soft,Soft,,,851
Vitantonio Liuzzi,Intermediate,Super-soft,Super-soft,Soft,Intermediate,Super-soft,851
Daniel Ricciardo,Intermediate,Super-soft,Super-soft,Soft,,,851
Jerome d Ambrosio,Intermediate,Super-soft,Soft,Intermediate,Soft,,851
Sebastian Vettel,Soft,Soft,Soft,Medium,,,852
Lewis Hamilton,Soft,Soft,,,,,852
Mark Webber,Soft,Medium,Medium,,,,852
Felipe Massa,Soft,Soft,Medium,Medium,,,852
Nico Rosberg,Soft,Soft,Medium,,,,852
Jaime Alguersuari,Soft,,,,,,852
Bruno Senna,Soft,Soft,Medium,,,,852
Fernando Alonso,Soft,Soft,Medium,,,,852
Sergio Perez,Soft,Soft,Medium,,,,852
Vitaly Petrov,Soft,Soft,Medium,,,,852
Sebastien Buemi,Soft,,,,,,852
Kamui Kobayashi,Soft,Soft,Medium,,,,852
Jenson Button,Medium,Soft,Soft,Soft,,,852
Rubens Barrichello,Soft,Soft,Medium,Soft,,,852
Adrian Sutil,Soft,Soft,Medium,,,,852
Heikki Kovalainen,Soft,Soft,Soft,Medium,,,852
Paul di Resta,Soft,Soft,Medium,,,,852
Jarno Trulli,Soft,Soft,Medium,,,,852
Timo Glock,Soft,Soft,Soft,Medium,,,852
Jerome d Ambrosio,Soft,Soft,Medium,,,,852
Pastor Maldonado,Soft,Soft,Medium,,,,852
Vitantonio Liuzzi,Soft,Soft,Medium,,,,852
Daniel Ricciardo,Soft,Soft,,,,,852
Michael Schumacher,Medium,Soft,Soft,Soft,,,852
Sebastian Vettel,Soft,Soft,Medium,,,,853
Lewis Hamilton,Soft,Soft,Medium,,,,853
Jenson Button,Soft,Soft,Medium,,,,853
Fernando Alonso,Soft,Soft,Medium,,,,853
Mark Webber,Soft,,,,,,853
Felipe Massa,Soft,Soft,Medium,,,,853
Vitaly Petrov,Soft,,,,,,853
Michael Schumacher,Soft,Soft,Medium,,,,853
Nico Rosberg,Medium,,,,,,853
Bruno Senna,Medium,Soft,Soft,Soft,,,853
Paul di Resta,Soft,Soft,Medium,,,,853
Adrian Sutil,Medium,,,,,,853
Rubens Barrichello,Soft,Medium,Soft,,,,853
Pastor Maldonado,Soft,Soft,Medium,,,,853
Sergio Perez,Medium,,,,,,853
Sebastien Buemi,Soft,Soft,Medium,,,,853
Kamui Kobayashi,Medium,Soft,Soft,,,,853
Jaime Alguersuari,Soft,Soft,Medium,,,,853
Jarno Trulli,Soft,Soft,Medium,,,,853
